Fish_Name,Fish_Scientific_Name,Min-Max_Size_cm,Water_temperature_C,Water_pH,Character,Feeding_Habit,Environment,Price_VND
Cá Neon xanh,Paracheirodon innesi,3 - 4,20 - 26,5.5 - 7.0,"Hiền lành, nhút nhát, bơi đàn",Ăn tạp (cám mịn),"Bể thủy sinh, ánh sáng vừa","6,000 - 10,000"
Cá Neon đỏ (Cardinal),Paracheirodon axelrodi,4 - 5,23 - 29,5.0 - 6.5,"Hiền lành, bơi đàn đẹp",Ăn tạp,Bể thủy sinh lâu năm,"15,000 - 25,000"
Cá Neon đen,Hyphessobrycon herbertaxelrodi,3 - 4,20 - 28,6.0 - 7.5,"Hiền lành, khỏe mạnh",Ăn tạp,Bể cộng đồng,"8,000 - 15,000"
Cá diếc anh đào (Cherry Barb),Puntius titteya,4 - 5,23 - 27,6.0 - 7.5,"Hiền lành, hơi nhút nhát",Ăn tạp,Bể thủy sinh nhiều thực vật,"12,000 - 25,000"
Cá tam giác,Trigonostigma heteromorpha,4 - 5,22 - 28,6.0 - 7.0,"Hiền lành, bơi đàn chặt",Ăn tạp,"Bể thủy sinh, nước mềm","10,000 - 20,000"
Cá hồng nhung (Sọc dưa đỏ),Hyphessobrycon eques,4,22 - 28,6.0 - 7.5,"Hơi tinh nghịch, hay rỉa vây",Ăn tạp,Bể nuôi chung cá nhanh nhẹn,"8,000 - 15,000"
Cá chim cánh buồm,Gymnocorymbus ternetzi,5 - 6,21 - 28,6.0 - 8.0,"Khỏe mạnh, hơi rỉa vây cá chậm",Ăn tạp,Bể cộng đồng,"10,000 - 20,000"
Cá sọc ngựa cánh sen,Danio rerio (Pink),4 - 5,18 - 25,6.5 - 7.5,"Rất năng động, bơi tầng mặt",Ăn tạp,Bể cộng đồng rộng dài,"6,000 - 12,000"
Cá sọc ngựa dạ quang,Danio rerio (GLO),4 - 5,20 - 26,6.5 - 8.0,"Năng động, thích bơi lội",Ăn tạp,Bể có đèn chuyên dụng,"8,000 - 15,000"
Cá anh vũ (Cá cầu vồng),Melanotaenia boesemani,8 - 11,24 - 30,7.0 - 8.0,"Hiền lành, bơi nhanh",Ăn tạp,"Bể rộng, thoáng đãng","40,000 - 90,000"
Cá bống mắt tre,Brachygobius doriae,3 - 4,24 - 30,7.5 - 8.5,"Hiền lành, hay lẩn trốn",Ăn tạp/Ăn thịt nhỏ,Bể có nước lợ nhẹ,"15,000 - 30,000"
Cá mập cảnh (Thái hổ nhỏ),Pangasianodon hypophthalmus,30 - 45,22 - 28,6.5 - 7.5,"Năng động, ăn nhiều",Ăn tạp,Bể cực lớn,"40,000 - 100,000"
Cá đĩa Đỏ (Melon),Symphysodon (Red Melon),15 - 20,28 - 32,5.5 - 6.5,"Hiền lành, nhút nhát","Ăn tạp (tim bò, trùng chỉ)","Bể sạch, nước mềm, thay nước đều","120,000 - 250,000"
Cá đĩa Xanh chỉ (Turquoise),Symphysodon (Turquoise),15 - 20,28 - 32,5.5 - 6.5,Hiền lành,Ăn tạp,Bể nuôi theo đàn,"100,000 - 220,000"
Cá đĩa Bồ câu (Pigeon Blood),Symphysodon (Pigeon Blood),15 - 20,28 - 32,5.5 - 6.5,Hiền lành,Ăn tạp,Bể lọc nước tốt,"110,000 - 240,000"
Cá thần tiên Ai Cập,Pterophyllum altum,18 - 25,26 - 31,4.8 - 6.2,"Nhút nhát, nhạy cảm môi trường",Ăn tạp/Ăn thịt nhỏ,"Bể rất cao, nước mềm","600,000 - 2,500,000"
Cá thần tiên Kim Sa,Pterophyllum scalare (Gold),12 - 15,24 - 30,6.0 - 7.5,Hơi lãnh thổ khi sinh sản,Ăn tạp,Bể thủy sinh cao,"40,000 - 90,000"
Cá thần tiên Hắc Thạch,Pterophyllum scalare (Black),12 - 15,24 - 30,6.0 - 7.5,Tương đối hiền,Ăn tạp,Bể nuôi chung với cá neon lớn,"35,000 - 80,000"
Cá phượng hoàng lam,Mikrogeophagus ramirezi,5 - 6,26 - 30,5.0 - 6.5,Hiền lành nhưng giữ tổ,"Ăn tạp (artemia, cám)","Bể thủy sinh đẹp, nước ấm","35,000 - 70,000"
Cá phượng hoàng bolivia,Mikrogeophagus altispinosus,7 - 8,23 - 28,6.0 - 7.5,"Hiền lành, khỏe hơn dòng lam",Ăn tạp,Bể đáy cát nhiều lũa,"40,000 - 80,000"
Cá phượng hoàng vàng,Mikrogeophagus ramirezi (Gold),5 - 6,26 - 30,5.5 - 6.5,Hiền lành,Ăn tạp,Bể thủy sinh,"40,000 - 80,000"
Cá vàng Ranchu,Carassius auratus (Ranchu),12 - 15,18 - 23,7.0 - 8.0,"Hiền lành, bơi chậm chạp",Ăn tạp (cám chìm chuyên dụng),Bể không kiếng hoặc bể kính trống,"60,000 - 250,000"
Cá vàng Oranda (Đầu lân),Carassius auratus (Oranda),15 - 20,18 - 23,7.0 - 7.8,Hiền lành,Ăn tạp,"Bể rộng, lọc nước mạnh","40,000 - 180,000"
Cá vàng Ryukin (Gù lưng),Carassius auratus (Ryukin),15 - 18,18 - 24,7.0 - 8.0,Năng động hơn dòng khác,Ăn tạp,"Bể rộng, có chiều sâu","50,000 - 200,000"
Cá vàng Mắt lồi (Black Moor),Carassius auratus (Moor),12 - 15,18 - 24,7.0 - 8.0,"Bơi chậm, thị lực kém",Ăn tạp,Bể không có vật sắc nhọn,"25,000 - 70,000"
Cá vàng Hạc đỉnh hồng,Carassius auratus (Redcap),15 - 18,18 - 23,7.0 - 7.5,Hiền lành,Ăn tạp,Bể cộng đồng cá vàng,"30,000 - 90,000"
Cá Koi Kohaku,Cyprinus carpio (Kohaku),50 - 80,15 - 25,7.0 - 8.0,"Thân thiện, sống bầy đàn rộng",Ăn tạp (cám viên nổi),"Ao cá ngoài trời, hồ lớn","200,000 - 1,500,000"
Cá Koi Showa,Cyprinus carpio (Showa),50 - 85,15 - 25,7.0 - 8.0,Thân thiện,Ăn tạp,Hồ Koi có hệ thống lọc chuẩn,"200,000 - 1,500,000"
Cá Koi Taisho Sanke,Cyprinus carpio (Sanke),50 - 80,15 - 25,7.0 - 8.0,Thân thiện,Ăn tạp,Hồ ngoài trời,"200,000 - 1,500,000"
Cá bống nheo bạc (Kinh koong),Balantiocheilos melanopterus,20 - 30,22 - 28,6.5 - 7.5,Hiền lành nhưng bơi rất nhanh,Ăn tạp,Bể lớn có nắp đậy,"30,000 - 70,000"
Cá chuột Thái (Chuột Mỹ),Chromobotia macracanthus,15 - 20,24 - 30,6.0 - 7.0,"Hiền lành, thích sống đàn",Ăn tạp (diệt ốc hại rất tốt),Bể có hang đá ẩn nấp,"60,000 - 150,000"
Cá chuột Cafe,Corydoras aeneus,5 - 6,22 - 26,6.5 - 7.5,"Hiền lành, chuyên ăn tầng đáy",Ăn tạp (thức ăn chìm),Bể thủy sinh đáy cát mịn,"10,000 - 20,000"
Cá chuột Panda,Corydoras panda,4 - 5,20 - 25,6.0 - 7.0,"Hiền lành, dễ thương",Ăn tạp,"Bể nước mát, sạch sẽ","25,000 - 50,000"
Cá chuột Albino,Corydoras aeneus (Albino),5 - 6,22 - 27,6.5 - 8.0,Hiền lành,Ăn tạp,Bể cộng đồng,"10,000 - 20,000"
Cá lau kính thông thường,Pterygoplichthys pardalis,30 - 40,20 - 28,6.5 - 8.0,Hiền lành nhưng phá cây khi lớn,"Ăn tạp (rêu, xác động vật)","Bể cá lớn, nhiều lũa","15,000 - 50,000"
Cá tỳ bà bướm,Beaufortia kweichowensis,5 - 7,20 - 24,6.5 - 7.5,"Hiền lành, bám kính","Ăn rêu, màng sinh học","Bể nước chảy mạnh, giàu oxy","20,000 - 45,000"
Cá tỳ bà vàng (Albino Pleco),Ancistrus cf. cirrhosus,10 - 12,22 - 27,6.0 - 7.5,"Hiền lành, chăm dọn bể","Ăn rêu, cám chìm",Bể cần có lũa để gặm gáp,"35,000 - 80,000"
Cá trực thăng,Farlowella acus,15 - 20,24 - 28,6.0 - 7.0,"Rất hiền lành, chậm chạp","Ăn rêu, thức ăn thực vật","Bể thủy sinh yên tĩnh, nước ổn định","80,000 - 180,000"
Cá bút chì,Crossocheilus oblongus,12 - 14,20 - 26,6.0 - 7.5,"Hiền lành, hơi năng động",Ăn rêu hại (đặc biệt rêu tóc),Bể thủy sinh lớn,"15,000 - 30,000"
Cá nô lệ (Cá mút rong),Gyrinocheilus aymonieri,12 - 15,22 - 28,6.5 - 7.5,Hơi hung dữ khi trưởng thành,"Ăn rêu, cám chìm",Bể nuôi chung cá nhanh nhẹn,"15,000 - 35,000"
Cá rồng Ngân Long,Osteoglossum bicirrhosum,70 - 100,24 - 30,6.0 - 7.0,"Hung dữ, săn mồi tầng mặt","Ăn thịt (nhái, cá mồi, rết)","Bể siêu lớn, nắp đậy cực chắc","300,000 - 800,000"
Cá rồng Huyết Long,Scleropages formosus (Red),60 - 80,26 - 30,6.5 - 7.0,"Hung dữ, mang tính tâm linh",Ăn thịt,Bể lớn trang bị đèn kích màu,"9,000,000 - 25,000,000"
Cá rồng Kim Long Quá Bối,Scleropages formosus (Gold),60 - 75,26 - 30,6.5 - 7.5,Lãnh thổ cao,Ăn thịt,Bể lớn nền sáng,"5,000,000 - 15,000,000"
Cá hổ Indonesia,Datnioides microlepis,30 - 40,24 - 28,6.5 - 7.5,"Hung dữ với cá nhỏ, săn mồi","Ăn thịt (tôm đông lạnh, cá mồi)",Bể nuôi chung cá lớn khác,"400,000 - 1,800,000"
Cá hồng két (Huyết anh vũ),Amphilophus x Paraneetroplus,18 - 22,22 - 28,6.5 - 7.5,"Năng động, hơi hung dữ",Ăn tạp (viên nổi),Bể trống đổi màu nền nổi bật,"35,000 - 80,000"
Cá la hán (King Kamfa),Cichlasoma hybrid,25 - 30,26 - 30,7.0 - 7.8,"Rất hung dữ, cắn tay người nuôi","Ăn tạp/Ăn thịt (tôm, cám)","Bể đơn độc, có đồ chơi tương tác","250,000 - 1,200,000"
Cá tai tượng châu Phi (Oscar),Astronotus ocellatus,25 - 35,22 - 28,6.0 - 7.5,"Hung dữ, phàm ăn, thông minh",Ăn thịt/Ăn tạp,Bể lớn không trồng cây,"80,000 - 200,000"
Cá hỏa tiễn (Cá nhái cảnh),Lepisosteus oculatus,50 - 70,12 - 26,6.0 - 8.0,"Săn mồi rình rập, tương đối hiền với cá lớn",Ăn thịt,"Bể rất dài, rộng","150,000 - 500,000"
Cá piranha bụng đỏ (Pacu giả),Pygocentrus nattereri,25 - 30,23 - 28,5.5 - 7.5,"Sống bầy đàn, hung dữ khi ngửi mùi máu","Ăn thịt (thịt tươi, cá chết)",Bể nuôi đàn chuyên dụng,"100,000 - 250,000"
Cá tai tượng đuôi đỏ,Phractocephalus hemioliopterus,100 - 130,22 - 26,6.0 - 7.0,"Rất phàm ăn, nuốt mọi thứ vừa miệng",Ăn thịt (mọi loại thịt),Hồ kính siêu lớn hoặc ao,"250,000 - 700,000"
Cá rồng cửu sừng hoàng đế,Polypterus endlicherii,40 - 50,24 - 30,6.0 - 7.5,"Săn mồi tầng đáy, ban đêm",Ăn thịt,Bể lớn có nhiều lũa hang,"150,000 - 400,000"
Cá cửu sừng vây nẻ,Polypterus senegalus,25 - 30,24 - 28,6.2 - 7.8,Hiền lành với cá lớn hơn miệng,Ăn thịt,Bể cộng đồng cá lớn,"50,000 - 120,000"
Cá voi đen (Black Ghost),Apteronotus albifrons,30 - 40,23 - 28,6.0 - 8.0,"Nhút nhát ban ngày, phát điện nhẹ kiếm ăn",Ăn thịt nhỏ (trùng huyết),"Bể tối, nhiều ống trú ẩn","60,000 - 140,000"
Cá heo lửa (Két xanh),Cryptoheros sajica,10 - 12,23 - 27,7.0 - 8.0,Hơi hung dữ khi sinh sản,Ăn tạp,Bể đá cát,"40,000 - 90,000"
Cá khổng tước (Peacock Bass),Cichla ocellaris,40 - 60,24 - 30,6.5 - 7.5,"Săn mồi tốc độ cao, hung dữ",Ăn thịt,Bể lớn thoáng dòng chảy mạnh,"150,000 - 450,000"
Cá nóc lùn pea puffers,Carinotetraodon travancoricus,2 - 3,22 - 26,7.0 - 8.0,"Hung dữ, hay rỉa vây cá khác","Ăn thịt nhỏ (ốc hại, trùng chỉ)",Bể thủy sinh trồng dày đặc,"25,000 - 50,000"
Cá nóc da báo,Tetraodon nigroviridis,12 - 15,24 - 28,7.5 - 8.5,"Hung dữ, rỉa vây bạo lực","Ăn thịt (nghêu, ốc)",Bể nước lợ,"40,000 - 90,000"
Cá đầu rắn việt nam,Channa orientalis,10 - 13,22 - 26,6.0 - 7.0,Lãnh thổ cao,Ăn thịt,Bể nhỏ nhiều lá bàng,"30,000 - 70,000"
Cá mắt đèn,Aplocheilichthys normani,3 - 4,22 - 26,6.5 - 7.2,"Hiền lành, bơi đàn",Ăn tạp,Bể thủy sinh tối nền,"10,000 - 20,000"
Cá thủy tinh,Kryptopterus vitreolus,6 - 8,20 - 26,6.0 - 7.0,"Nhút nhát, hiền lành, bơi đàn",Ăn tạp nhỏ,Bể thủy sinh ánh sáng yếu,"25,000 - 50,000"
Cá cầu vồng thạch lựu,Melanotaenia praecox,5 - 6,23 - 28,6.5 - 7.5,"Hiền lành, năng động",Ăn tạp,Bể thủy sinh trồng nhiều cây,"20,000 - 45,000"
Cá sọc ngựa xanh dạ quang,Danio rerio (Green GLO),4 - 5,20 - 26,6.5 - 7.8,Năng động,Ăn tạp,Bể cộng đồng,"8,000 - 15,000"
Cá bút chì đỏ,Nannostomus mortenthaleri,3 - 4,24 - 28,5.5 - 6.5,Hơi lãnh thổ giữa các con đực,Ăn tạp nhỏ,Bể thủy sinh nước mềm,"60,000 - 130,000"
Cá cầu vồng nến,Glossolepis incisus,10 - 12,24 - 28,7.0 - 8.0,"Hiền lành, bơi nhanh",Ăn tạp,Bể rộng,"50,000 - 110,000"
Cá mang rổ (Cá cung thủ),Toxotes jaculatrix,15 - 20,25 - 30,7.5 - 8.5,Hiền lành nhưng săn mồi bằng cách phun nước,Ăn côn trùng sống,"Bể nửa cạn (Paludarium), nước lợ","40,000 - 90,000"
Cá heo xanh đuôi đỏ,Yasuhikotakia modesta,15 - 18,23 - 28,6.5 - 7.5,"Hơi tinh nghịch, năng động ban đêm",Ăn tạp,Bể lớn nhiều hang hốc,"40,000 - 90,000"
Cá da báo (Cá leo báo),Ctenopoma acutirostre,15 - 20,23 - 28,6.0 - 7.5,"Săn mồi rình rập, hiền với cá lớn",Ăn thịt,Bể nhiều cây và lũa,"60,000 - 150,000"
Cá rồng cửu sừng albino,Polypterus senegalus (Albino),25 - 30,24 - 28,6.5 - 7.5,Săn mồi tầng đáy,Ăn thịt,Bể cộng đồng cá lớn,"60,000 - 130,000"
Cá mũi đỏ,Hemigrammus rhodostomus,4 - 5,24 - 28,5.5 - 7.0,"Hiền lành, bơi đàn siêu chặt",Ăn tạp,Bể thủy sinh lớn,"15,000 - 30,000"
Cá cầu vồng celebes,Marosatherina ladigesi,6 - 7,22 - 28,7.0 - 8.0,"Hiền lành, thích nước động",Ăn tạp,Bể thủy sinh thoáng,"25,000 - 55,000"
Cá hắc đao,Epalzeorhynchos bicolor,12 - 15,22 - 26,6.5 - 7.5,"Rất hung dữ với đồng loại, giữ đáy",Ăn tạp/Rêu,"Bể cộng đồng lớn, nhiều chỗ trốn","30,000 - 65,000"
